id,name
78898,Ariana Grande
73654,The Weeknd
488,Billie Eilish
44082,Ariana Grande
18948,BTS
72825,Cardi B
61629,Miley Cyrus
38220,Miley Cyrus
20201,Harry Styles
15260,Ariana Grande
74445,Ariana Grande
55074,Dua Lipa
84416,Tame Impala
44917,BTS
32683,Ariana Grande
64378,Ariana Grande
5712,Fleetwood Mac
84515,Ariana Grande
64926,Mariah Carey
1437,Clairo
13804,Harry Styles
84665,Harry Styles
83649,Ariana Grande
9993,Ariana Grande
46608,Taylor Swift
56985,BTS
51354,Billie Eilish
56056,Ariana Grande
79972,Dua Lipa
83369,Ariana Grande
47615,BTS
64520,BTS
95754,BLACKPINK
75704,24kgoldn
67977,Lady Gaga
61592,BTS
17468,BTS
17206,Arctic Monkeys
33095,Ariana Grande
30146,Dua Lipa
48825,Ariana Grande
53288,Miley Cyrus
25197,Taylor Swift
54445,Ariana Grande
80887,BLACKPINK
78832,The Neighbourhood
67594,Ariana Grande
39123,Frank Ocean
49072,TWICE
63230,"Tyler, the Creator"
